a52dec 0.7.4-9
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.8.0-1
libxkbcommon-x11 0.8.0-1
libxkbfile 1.0.9-1
libxkbui 1.0.2-5
libxml2 2.9.7+4+g72182550-2
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-2
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
licenses 20171006-1
linux 4.15.5-1
linux-api-headers 4.14.8-1
linux-firmware 20180119.2a713be-1
lldb 5.0.1-2
llvm-libs 5.0.1-2
lm_sensors 3.4.0-2
logrotate 3.13.0-1
lsb-release 1.4-14
lttng-ust 2.10.1-1
lua 5.3.4-2
lua52 5.2.4-2
lvm2 2.02.177-1
lz4 1:1.8.1.2-1
lzo 2.10-1
m4 1.4.18-1
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.8.1-1
man-pages 4.15-1
mdadm 4.0-1
mesa 17.3.5-1
mesa-demos 8.3.0-4
mkinitcpio 24-2
mkinitcpio-busybox 1.27.2-1
mlocate 0.26-6
mono 5.4.1.7-2
mono-addins 1.3.3-1
mozilla-common 1.4-4
mpfr 4.0.1-1
mtdev 1.1.5-1
mupdf 1.12.0-2
nano 2.9.3-1
ncurses 6.1-3
net-tools 1.60.20180212git-1
netctl 1.15-1
nettle 3.4-1
noto-fonts 20171025-2
npth 1.5-1
nspr 4.18-1
nss 3.35-1
ntp 4.2.8.p10-2
nvidia 390.25-13
nvidia-utils 390.25-2
open-vm-tools 6:10.2.0-2
openal 1.18.2-1
opencore-amr 0.1.5-1
openjpeg 1.5.2-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssl 1.1.0.g-1
openssl-1.0 1.0.2.n-1
opus 1.2.1-1
orc 0.4.28-1
p11-kit 0.23.9-1
pacman 5.0.2-2
pacman-mirrorlist 20180203-1
pam 1.3.0-1
pambase 20171006-1
pango 1.40.14-1
pangomm 2.40.1-2
patch 2.7.6-1
pavucontrol 1:3.0+23+g335c26c-1
pciutils 3.5.6-1
pcmciautils 018-7
pcre 8.41-1
pcre2 10.31-1
perl 5.26.1-2
perl-error 0.17025-2
pinentry 1.1.0-1
pinta 1.6-2
pixman 0.34.0-1
pkg-config 0.29.2-1
polkit 0.113+34+g29ba7af-1
poppler 0.61.1-1
popt 1.16-9
potrace 1.15-1
powerline 2.6-1
powerline-common 2.6-1
powerline-fonts 2.6-1
procps-ng 3.3.12-3
psmisc 23.1-1
pulseaudio 11.1-1
pulseaudio-alsa 2-3
pulseaudio-bluetooth 11.1-1
pygobject2-devel 2.28.7-1
pygtk 2.24.0-8
python 3.6.4-2
python-appdirs 1.4.3-1
python-dbus-common 1.2.6-1
python-decorator 4.2.1-1
python-jedi 0.11.1-1
python-packaging 16.8-2
python-parso 0.1.1-1
python-pexpect 4.3.1-1
python-pickleshare 0.7.4-3
python-powerline 2.6-1
python-prompt_toolkit 1.0.15-1
python-ptyprocess 0.5.2-1
python-pygments 2.2.0-1
python-pyparsing 2.2.0-1
python-setuptools 1:38.5.1-1
python-six 1.11.0-1
python-traitlets 4.3.2-1
python-wcwidth 0.1.7-2
python2 2.7.14-2
python2-appdirs 1.4.3-1
python2-backports 1.0-1
python2-backports.shutil_get_terminal_size 1.0.0-1
python2-cairo 1.16.2-1
python2-crypto 2.6.1-5
python2-dbus 1.2.6-1
python2-decorator 4.2.1-1
python2-enum34 1.1.6-1
python2-gnuplot 1.8-7
python2-gobject2 2.28.7-1
python2-numpy 1.14.1-1
python2-packaging 16.8-2
python2-pathlib 1.0.1-3
